Time,X,Y,Z
1.73444e+09,-8.80753,-4.00924,-0.943342
1.73444e+09,-8.78359,-4.00947,-0.936159
1.73444e+09,-8.75967,-4.0097,-0.928961
1.73444e+09,-8.73574,-4.00994,-0.921734
1.73444e+09,-8.71182,-4.01018,-0.914502
1.73444e+09,-8.6879,-4.01042,-0.907256
1.73444e+09,-8.664,-4.01067,-0.899991
1.73444e+09,-8.64009,-4.01091,-0.892702
1.73444e+09,-8.61619,-4.01116,-0.885405
1.73444e+09,-8.59229,-4.01141,-0.878096
1.73444e+09,-8.5684,-4.01166,-0.870768
1.73444e+09,-8.54452,-4.01191,-0.863417
1.73444e+09,-8.52063,-4.01217,-0.856055
1.73444e+09,-8.49675,-4.01242,-0.848688
1.73444e+09,-8.47288,-4.01268,-0.841298
1.73444e+09,-8.44902,-4.01295,-0.833887
1.73444e+09,-8.42515,-4.01321,-0.826465
1.73444e+09,-8.40129,-4.01347,-0.819042
1.73444e+09,-8.37743,-4.01374,-0.811597
1.73444e+09,-8.35359,-4.01401,-0.804127
1.73444e+09,-8.32974,-4.01428,-0.796645
1.73444e+09,-8.30589,-4.01456,-0.789162
1.73444e+09,-8.28205,-4.01483,-0.781662
1.73444e+09,-8.25823,-4.01511,-0.774141
1.73444e+09,-8.2344,-4.01539,-0.7666
1.73444e+09,-8.21057,-4.01567,-0.759061
1.73444e+09,-8.18674,-4.01595,-0.751512
1.73444e+09,-8.16293,-4.01624,-0.743939
1.73444e+09,-8.13912,-4.01652,-0.736343
1.73444e+09,-8.11531,-4.01681,-0.728752
1.73444e+09,-8.0915,-4.0171,-0.721158
1.73444e+09,-8.0677,-4.01739,-0.713536
1.73444e+09,-8.04391,-4.01769,-0.705889
1.73444e+09,-8.02011,-4.01798,-0.698246
1.73444e+09,-7.99631,-4.01828,-0.690603
1.73444e+09,-7.97253,-4.01858,-0.68294
1.73444e+09,-7.94875,-4.01888,-0.675243
1.73444e+09,-7.92497,-4.01918,-0.667552
1.73444e+09,-7.90119,-4.01948,-0.65986
1.73444e+09,-7.87742,-4.01979,-0.652159
1.73444e+09,-7.85366,-4.0201,-0.644419
1.73444e+09,-7.82989,-4.02041,-0.636683
